$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$Inter-Dependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.49,1.05,3.99,0.58,99.76,13.27,0.61,3.26,41.27,271.13,0.86,0.65
0.16,0.93,3.91,0.69,83.62,4.31,2.8,1.88,33.15,607.83,0.9,0.37
0.45,0.93,7.37,0.4,48.72,44.23,1.15,3.67,17.86,671.64,0.98,0.55
0.52,0.96,4.68,0.66,40.09,35.74,0.55,4.08,30.29,330.51,0.92,0.31
0.6,1.03,3.77,0.65,12.53,22.63,3.37,0.78,17.72,648.45,0.83,0.05
0.39,1.03,7.63,0.4,11.43,16.13,0.31,0.18,9.13,637.71,0.86,0.0
0.42,1.03,8.78,0.55,35.53,10.55,0.78,2.13,32.81,564.62,0.92,0.45
0.13,1.05,10.0,0.67,11.22,13.76,2.07,4.12,28.24,1482.28,0.63,0.0
0.59,1.09,2.53,0.48,51.92,18.89,1.64,2.55,6.75,216.28,0.62,0.0
0.2,1.19,9.34,0.58,21.77,4.03,3.65,2.08,31.79,2541.99,0.76,0.0
0.14,1.03,5.43,0.63,70.19,31.3,2.98,1.75,7.58,558.15,0.91,0.34
0.59,0.87,9.74,0.7,42.1,26.32,0.18,2.42,15.16,552.6,1.0,0.61
0.68,1.1,5.94,0.54,72.75,35.26,2.75,1.66,21.29,1187.92,0.93,0.57
0.72,1.18,3.91,0.63,73.97,17.89,0.74,0.62,14.39,265.21,0.89,0.47
0.7,0.86,9.26,0.41,50.58,12.42,1.91,2.8,5.06,546.27,0.91,0.28
0.67,1.15,6.87,0.59,92.91,26.19,3.54,1.35,35.73,1736.87,0.65,0.0
0.59,1.08,4.37,0.45,53.65,1.72,0.22,4.58,28.51,351.42,0.83,0.0
0.12,1.11,8.58,0.4,17.63,20.44,0.79,3.51,21.43,862.43,0.93,0.36
0.89,0.88,2.6,0.59,45.41,3.9,4.0,0.69,9.45,394.63,0.92,0.11
0.54,1.11,8.78,0.66,51.11,3.53,3.51,3.56,20.63,1745.27,0.97,0.36
0.17,0.93,4.36,0.64,20.05,1.73,1.29,3.24,5.0,350.66,0.92,0.42
0.37,1.15,9.06,0.59,76.75,17.72,0.68,4.88,24.38,744.82,0.69,0.18
0.83,1.17,6.99,0.5,20.44,7.29,1.61,2.69,15.85,741.3,0.95,0.49
0.17,0.94,9.77,0.63,75.55,27.7,3.16,1.77,37.37,1795.67,0.79,0.18
0.26,1.05,3.88,0.65,81.68,22.0,1.97,3.72,30.59,511.04,0.94,0.42
0.63,0.89,5.15,0.64,37.99,33.09,2.77,2.6,10.29,579.56,0.96,0.38
0.45,0.91,6.81,0.51,22.08,38.24,2.66,4.7,41.25,860.84,0.98,0.35
0.12,0.93,8.54,0.44,80.84,7.16,1.93,1.91,41.63,760.81,0.88,0.0
0.24,1.12,8.89,0.47,9.52,19.11,3.15,4.44,5.13,1692.4,0.94,0.39
0.52,1.18,4.71,0.58,38.83,35.25,2.0,1.58,24.91,846.12,0.82,0.14
0.89,1.07,3.05,0.67,91.27,28.56,2.55,1.26,4.22,360.68,0.81,0.25
0.75,0.9,7.41,0.57,19.83,1.86,1.0,1.04,4.86,456.77,0.77,0.02
0.58,0.86,2.01,0.42,4.82,23.46,0.78,4.78,24.55,130.59,1.0,0.22
0.27,1.05,6.28,0.69,5.6,38.1,0.89,3.28,11.64,535.26,1.0,0.33
0.2,0.89,2.8,0.45,64.11,33.5,2.24,1.37,10.92,375.37,0.78,0.06
0.31,0.99,2.33,0.6,15.31,34.84,1.8,1.56,37.54,280.27,0.55,0.0
0.49,0.85,9.47,0.4,45.88,10.76,2.42,0.28,19.88,933.66,0.98,0.29
0.2,1.07,9.37,0.62,48.33,47.08,2.36,4.15,33.79,1790.96,0.55,0.05
0.24,1.08,4.84,0.62,93.92,42.93,3.07,0.16,13.39,960.48,0.74,0.05
0.67,1.12,2.7,0.44,48.33,3.3,0.41,2.37,12.61,183.26,0.92,0.63
0.47,0.91,4.35,0.41,8.28,45.2,1.72,3.82,15.42,275.34,0.93,0.46
0.35,1.0,9.77,0.7,89.7,14.5,0.78,4.02,18.69,670.33,0.93,0.13
0.41,0.95,2.58,0.52,97.06,46.35,0.48,2.64,19.26,118.74,1.0,0.25
0.27,1.11,2.36,0.55,24.96,5.71,3.73,4.05,35.82,505.96,0.95,0.07
0.32,0.94,7.39,0.56,30.92,29.14,0.91,4.93,13.9,329.07,0.64,0.13
0.42,1.12,6.85,0.64,41.86,34.77,0.7,4.79,5.86,662.88,0.88,0.56
0.77,1.0,5.0,0.57,59.15,46.66,0.67,4.36,5.21,330.09,0.63,0.29
0.22,0.97,5.17,0.54,10.95,17.12,2.97,0.78,19.31,517.14,0.98,0.23
0.46,1.02,4.35,0.49,88.41,32.62,2.78,0.42,23.95,640.97,0.87,0.05
0.18,1.13,8.36,0.68,3.83,26.22,2.27,4.29,39.79,1758.44,0.96,0.18
0.64,0.93,4.32,0.49,98.33,1.12,1.1,1.82,31.39,495.92,0.92,0.33
0.36,1.08,9.33,0.52,3.29,38.79,3.24,4.45,27.71,2020.77,0.89,0.06
0.27,1.18,6.19,0.52,35.05,23.07,3.25,3.33,13.45,1264.86,0.64,0.02
0.85,1.02,4.27,0.49,77.32,18.47,2.84,0.57,30.87,590.13,0.99,0.32
0.76,1.07,5.48,0.41,66.81,38.09,1.99,3.67,7.57,518.27,0.89,0.45
0.67,0.99,7.91,0.68,32.92,4.9,3.19,4.86,12.67,1164.24,0.97,0.32
0.33,1.19,8.55,0.56,1.64,28.19,0.67,1.11,18.53,972.34,0.92,0.58
0.41,1.18,9.73,0.54,93.85,1.08,3.08,1.14,41.0,3028.81,0.93,0.65
0.52,1.02,4.03,0.53,39.62,41.86,3.5,4.55,20.01,755.8,0.79,0.08
0.24,0.88,8.46,0.66,89.27,26.97,0.49,3.19,7.24,284.24,1.0,0.38
0.52,1.0,7.13,0.57,11.57,26.25,0.11,3.63,20.46,464.14,1.0,0.27
0.11,0.85,4.29,0.46,65.24,7.26,3.16,1.84,28.32,717.13,0.96,0.62
0.15,0.82,7.94,0.57,42.81,40.31,0.08,2.02,12.79,402.7,0.8,0.0
0.8,0.92,3.01,0.53,68.24,4.43,1.23,2.11,13.97,258.92,0.93,0.42
0.23,0.97,9.23,0.53,79.68,12.07,3.07,0.96,9.37,1139.45,0.92,0.11
0.26,0.83,4.01,0.66,61.11,12.87,0.35,1.37,40.86,197.61,0.89,0.41
0.62,0.83,6.68,0.61,28.61,4.89,0.14,2.41,26.37,263.54,1.0,0.0
0.39,1.11,2.03,0.6,58.87,36.84,3.85,3.5,26.92,402.84,0.95,0.33
0.69,0.93,4.17,0.6,30.88,3.19,1.4,2.98,36.15,454.1,0.84,0.0
0.3,1.15,8.26,0.57,67.6,23.0,3.72,4.08,8.67,1627.54,0.91,0.2
0.66,0.91,5.42,0.64,95.16,49.53,0.28,2.2,5.47,182.52,1.0,0.25
0.27,1.16,6.74,0.54,7.67,30.84,1.19,3.78,35.3,999.11,0.88,0.07
0.82,1.17,5.64,0.64,53.47,5.54,2.66,4.06,24.52,1000.74,0.97,0.2
0.49,0.93,8.56,0.67,5.0,27.53,2.0,0.98,3.59,911.92,0.75,0.1
0.24,0.86,3.33,0.41,22.37,43.83,0.17,0.09,41.56,263.13,1.0,0.25
0.27,1.13,7.2,0.54,85.88,33.18,2.84,1.22,6.53,1193.6,0.94,0.52
0.72,1.02,8.0,0.54,45.39,48.4,3.2,0.63,30.6,1551.45,0.84,0.05
0.25,0.89,5.19,0.7,63.39,41.5,2.52,3.7,9.59,482.29,0.72,0.12
0.75,0.88,7.91,0.46,69.39,12.3,0.12,1.2,29.39,375.06,1.0,0.46
0.31,0.9,5.65,0.49,76.99,40.75,1.02,2.19,22.75,410.62,0.9,0.4
0.33,1.18,9.75,0.69,3.53,40.31,0.92,1.92,25.21,924.06,1.0,0.37
0.39,0.84,9.58,0.48,18.66,9.24,3.76,1.39,10.43,1005.16,0.82,0.22
0.21,0.91,8.52,0.62,90.64,46.44,0.1,3.02,8.1,141.1,0.75,0.0
0.74,1.13,6.64,0.61,22.8,25.39,0.62,3.99,28.27,586.81,0.6,0.25
0.68,0.86,3.33,0.51,28.29,19.26,0.49,2.69,38.22,188.62,0.9,0.44
0.65,1.02,9.26,0.64,5.61,38.96,2.83,0.24,25.49,1207.35,0.69,0.0
0.27,0.87,6.18,0.42,52.98,25.09,2.03,4.65,2.81,529.27,0.76,0.29
0.77,1.0,9.97,0.47,29.84,47.85,1.63,1.92,17.03,985.06,0.95,0.17
0.14,0.92,8.57,0.57,1.04,38.21,3.5,1.2,9.63,1064.69,0.89,0.38
0.23,1.09,8.01,0.46,80.31,3.64,0.62,0.61,15.35,552.57,0.9,0.44
0.19,1.1,3.28,0.47,81.32,42.74,1.93,0.29,21.63,403.79,0.69,0.12
0.81,0.96,8.43,0.49,62.32,34.46,0.14,1.9,9.77,359.66,0.86,0.0
0.31,0.89,3.92,0.54,18.25,31.08,3.45,0.62,25.15,572.84,0.97,0.29
0.15,0.9,7.06,0.63,79.79,8.31,1.21,2.07,8.9,533.89,0.98,0.47
0.68,0.86,2.9,0.52,4.72,31.03,2.18,4.29,36.1,382.13,0.86,0.09
0.15,1.12,7.1,0.49,15.97,40.77,1.94,1.06,17.28,910.92,0.93,0.36
0.64,1.17,8.97,0.53,33.17,39.08,2.75,4.63,23.19,1658.36,0.99,0.25
0.83,1.17,8.82,0.62,31.97,21.4,0.04,2.42,14.48,413.57,0.9,0.0
0.33,0.93,7.02,0.6,56.49,47.2,2.25,4.49,2.86,587.55,0.79,0.2
0.52,1.11,9.64,0.62,99.98,5.89,2.92,0.29,41.55,1882.52,0.99,0.41
0.29,1.17,4.96,0.67,9.5,27.96,1.3,2.89,15.82,486.35,0.7,0.0
0.11,1.07,2.21,0.55,93.71,16.06,2.01,1.62,31.54,363.87,0.73,0.0
0.56,1.2,5.66,0.48,19.83,15.84,2.58,0.01,18.3,1003.67,0.99,0.33
0.57,0.94,9.46,0.44,32.39,31.47,1.94,0.68,21.85,794.03,0.95,0.09
0.29,1.1,8.89,0.46,9.79,43.19,0.41,3.6,40.75,670.02,0.61,0.0
0.86,0.85,9.6,0.58,49.44,32.16,0.76,4.39,23.4,518.39,0.78,0.0
0.25,0.91,7.29,0.59,40.61,18.57,2.83,1.44,29.13,819.85,0.66,0.01
0.44,0.88,5.59,0.68,98.42,49.25,0.41,0.94,10.59,297.16,0.9,0.1
0.38,1.07,7.11,0.7,28.19,3.85,3.5,0.08,34.26,1494.4,0.96,0.16
0.8,1.11,5.42,0.59,87.8,7.33,3.57,2.2,32.09,1175.14,0.86,0.0
0.55,1.11,5.93,0.6,57.27,2.05,1.98,1.44,37.44,877.6,0.78,0.0
0.51,1.04,5.6,0.7,26.76,18.73,0.26,0.21,32.06,472.78,0.91,0.44
0.79,0.83,7.5,0.63,26.17,27.37,1.66,2.8,37.64,585.34,0.5,0.0
