$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.2,1.12,2.25,0.57,19.18,7.86,2.18,2.52,11.69,338.38,0.88,0.18
0.85,1.17,9.58,0.47,92.58,6.72,2.56,4.36,26.47,1631.81,0.89,0.08
0.2,0.95,8.6,0.54,15.91,30.03,1.2,4.74,29.38,783.31,1.0,0.38
0.32,0.86,7.3,0.62,81.13,5.99,1.49,1.69,16.6,593.06,0.93,0.46
0.16,1.03,4.68,0.67,85.81,45.37,2.64,3.39,2.28,514.88,0.77,0.32
0.73,1.1,9.47,0.44,15.09,20.2,1.46,0.14,37.18,1457.04,1.0,0.44
0.49,0.84,9.79,0.53,89.41,8.41,0.13,3.97,40.77,485.75,1.0,0.56
0.83,0.99,7.28,0.67,25.95,13.61,2.46,2.12,26.62,1045.12,0.9,0.42
0.25,0.99,9.23,0.64,88.62,25.5,3.61,4.97,13.84,1419.18,0.69,0.0
0.35,1.11,5.88,0.47,38.01,4.24,2.36,4.6,8.39,814.28,0.94,0.5
0.54,1.14,6.44,0.64,1.56,40.99,1.65,4.31,18.24,745.76,0.67,0.0
0.68,1.13,2.19,0.6,63.63,8.14,2.82,1.22,14.77,286.41,0.9,0.52
0.31,0.88,3.27,0.68,5.93,9.24,1.21,2.73,17.58,208.9,0.92,0.2
0.16,0.89,2.29,0.62,61.06,39.95,3.92,1.53,23.36,317.85,0.94,0.52
0.12,1.03,6.98,0.45,29.19,35.01,0.54,0.27,36.26,624.06,0.83,0.09
0.75,1.1,7.37,0.69,39.39,37.5,3.5,0.81,5.07,1201.84,0.78,0.11
0.18,1.18,5.15,0.45,63.71,45.17,1.3,1.14,24.68,631.42,0.9,0.56
0.25,1.13,6.72,0.58,24.92,44.62,0.7,3.57,29.49,720.43,0.9,0.25
0.79,1.18,3.53,0.53,19.55,31.53,0.22,3.23,30.45,305.61,0.69,0.0
0.44,1.15,8.05,0.62,27.43,13.39,1.35,0.68,10.96,694.22,0.6,0.0
0.74,0.83,8.32,0.66,16.32,20.15,0.47,3.71,39.45,512.47,0.88,0.0
0.45,1.07,9.29,0.46,45.51,45.73,0.46,0.25,23.81,959.4,0.67,0.0
0.23,1.18,8.02,0.44,86.71,26.91,2.12,0.96,28.64,2021.49,0.98,0.51
0.87,1.11,9.23,0.44,2.79,32.17,0.33,4.83,13.56,817.86,0.86,0.45
0.48,1.04,7.73,0.46,11.2,30.17,0.94,1.14,14.28,393.64,0.86,0.14
0.36,0.97,3.52,0.49,5.82,30.9,3.75,4.45,18.71,487.87,0.96,0.25
0.87,1.08,5.69,0.54,19.33,9.94,0.94,4.92,29.35,457.6,0.88,0.42
0.36,1.01,2.8,0.54,94.01,34.3,3.06,1.9,5.13,350.48,0.9,0.34
0.58,1.05,4.93,0.46,11.04,39.47,2.04,0.28,43.01,1035.77,0.75,0.01
0.66,1.14,9.14,0.53,10.93,37.1,1.51,4.99,17.73,1219.41,0.64,0.12
0.75,1.1,3.34,0.57,77.08,25.91,0.7,4.77,24.38,421.97,0.67,0.0
0.58,1.19,3.43,0.46,30.13,12.68,0.47,4.07,24.19,280.38,0.92,0.14
0.89,0.87,3.1,0.56,58.09,42.58,3.25,1.01,1.22,350.59,0.76,0.41
0.26,1.04,7.42,0.69,35.2,40.92,3.94,1.44,17.53,1096.17,0.77,0.06
0.56,0.95,8.48,0.44,14.32,25.4,2.65,4.57,19.68,996.85,0.85,0.1
0.41,0.96,4.02,0.45,55.04,25.17,0.8,3.84,20.43,289.22,0.87,0.0
0.74,0.92,2.54,0.65,85.76,35.64,1.81,4.61,22.28,242.28,0.86,0.05
0.3,0.96,3.78,0.68,23.27,29.61,2.16,4.13,31.58,588.99,0.91,0.2
0.63,1.17,7.31,0.69,68.87,5.78,2.76,1.77,1.76,1194.48,0.66,0.12
0.55,0.95,4.36,0.54,35.85,35.58,2.3,3.99,38.42,567.12,0.96,0.36
0.53,1.05,8.23,0.44,82.72,19.98,1.84,3.32,6.52,979.51,0.73,0.18
0.67,1.19,9.96,0.55,8.52,17.17,0.69,0.16,30.89,920.83,0.63,0.0
0.78,0.86,2.23,0.43,92.88,5.4,0.54,0.0,29.38,178.75,0.44,0.0
0.8,1.05,3.96,0.6,75.68,41.98,3.23,1.62,3.53,574.47,0.84,0.32
0.56,0.91,5.19,0.55,51.24,46.34,3.27,1.1,21.08,708.78,0.9,0.38
0.19,1.18,9.37,0.46,47.29,16.25,1.82,3.36,28.52,1617.73,0.88,0.0
0.17,1.07,7.32,0.5,22.33,49.67,1.52,0.22,32.77,981.52,0.95,0.0
0.88,1.11,2.15,0.4,41.35,5.07,2.4,0.79,3.84,279.33,0.75,0.15
0.85,0.97,7.24,0.5,23.17,18.08,0.41,2.04,1.23,302.23,0.75,0.68
0.45,0.99,6.25,0.55,46.3,15.99,1.48,1.22,27.0,535.6,0.95,0.6
0.48,1.06,6.7,0.67,92.02,43.87,3.93,4.94,6.25,1120.46,0.69,0.06
0.11,1.17,5.65,0.6,92.43,37.06,3.37,4.61,18.81,1317.61,0.83,0.05
0.66,0.86,7.91,0.55,89.76,12.53,2.95,2.38,41.77,913.73,0.97,0.47
0.53,1.0,6.84,0.46,27.21,10.97,1.84,2.63,16.62,778.61,0.92,0.21
0.71,1.19,7.67,0.48,10.1,22.08,2.18,2.19,12.74,1530.12,0.96,0.55
0.43,1.18,4.43,0.43,28.08,44.95,2.89,1.76,36.31,906.05,0.85,0.5
0.51,1.05,3.93,0.65,5.31,3.55,3.1,2.28,28.42,742.53,0.8,0.0
0.31,1.17,3.77,0.63,48.85,16.95,2.39,3.66,8.73,687.62,0.5,0.02
0.64,1.19,7.09,0.46,77.03,17.08,0.75,1.08,43.89,744.48,0.92,0.35
0.84,0.91,2.29,0.48,61.17,4.31,2.4,4.13,4.78,206.72,0.96,0.37
0.75,0.92,7.51,0.49,95.6,22.53,0.95,0.13,33.45,533.21,1.0,0.54
0.47,1.06,6.98,0.68,77.83,38.66,3.86,1.43,11.02,1120.91,0.88,0.42
0.71,0.91,6.2,0.4,21.09,22.56,2.52,2.79,22.03,683.28,0.69,0.05
0.66,1.03,7.58,0.5,92.11,18.53,1.15,2.52,15.53,849.45,0.97,0.5
0.83,0.9,3.98,0.57,41.93,48.51,2.93,3.69,10.17,321.73,0.83,0.08
0.43,0.83,8.9,0.69,83.3,3.32,0.8,0.51,14.78,337.79,1.0,0.43
0.37,1.13,6.92,0.4,4.12,44.48,2.85,4.23,43.59,1337.47,0.99,0.4
0.53,0.91,5.74,0.47,96.09,14.1,0.57,2.0,18.03,291.37,0.65,0.0
0.51,1.11,5.87,0.42,37.28,25.62,2.84,4.52,33.7,927.85,0.99,0.32
0.56,1.06,8.88,0.41,78.83,28.9,3.89,3.42,6.8,1531.96,0.95,0.53
0.52,0.86,7.91,0.62,35.68,20.11,3.6,4.94,10.89,914.31,0.88,0.21
0.44,1.05,9.24,0.68,98.35,21.91,0.68,0.17,32.49,783.55,1.0,0.11
0.83,0.85,2.96,0.59,67.34,30.22,0.04,2.61,39.81,156.83,0.9,0.31
0.46,1.02,2.07,0.61,68.93,22.05,0.89,3.83,26.76,179.56,0.91,0.57
0.69,1.2,4.78,0.57,16.01,26.56,3.82,1.52,6.47,929.34,0.94,0.48
0.66,0.95,2.44,0.68,98.96,3.37,3.34,0.72,15.77,355.02,0.97,0.31
0.44,0.88,8.5,0.44,89.71,12.78,2.03,3.69,19.77,977.17,0.95,0.28
0.15,1.02,2.94,0.62,86.77,37.04,3.51,1.05,31.88,559.45,0.84,0.49
0.7,1.12,9.83,0.58,55.3,38.38,0.87,0.1,15.96,775.84,1.0,0.47
0.75,0.9,8.18,0.63,18.91,34.79,0.49,3.19,13.61,409.79,1.0,0.45
0.45,0.89,9.43,0.48,85.87,7.96,0.11,3.41,36.23,393.44,0.93,0.48
0.34,1.04,8.06,0.58,1.75,43.52,0.93,1.84,1.5,313.35,0.78,0.61
0.65,0.92,2.24,0.41,53.5,27.02,2.58,1.91,34.02,259.47,0.89,0.32
0.17,0.93,3.13,0.46,74.94,6.4,0.1,4.13,24.99,233.95,0.85,0.0
0.36,1.14,9.02,0.43,47.62,4.94,2.04,0.18,1.29,1402.52,0.75,0.73
0.54,0.95,4.39,0.46,58.29,28.02,1.75,1.19,8.83,360.8,0.94,0.36
0.73,0.97,4.74,0.59,54.54,8.26,1.34,0.56,27.26,510.01,1.0,0.38
0.35,0.96,3.68,0.57,45.96,37.71,1.69,4.71,6.02,304.55,0.89,0.31
0.89,0.84,3.53,0.62,33.85,7.13,3.56,3.1,31.8,522.53,0.79,0.0
0.14,0.88,6.16,0.61,48.16,27.25,2.3,1.56,11.52,570.74,0.96,0.46
0.36,1.14,9.34,0.55,86.74,22.83,3.32,3.17,39.17,2663.9,0.65,0.0
0.33,1.16,5.24,0.7,9.46,7.2,2.06,1.01,6.17,771.63,0.9,0.6
0.84,1.01,7.65,0.59,72.41,2.55,0.3,2.84,41.12,773.57,1.0,0.47
0.84,1.16,5.89,0.5,42.81,43.82,2.77,3.11,25.71,1106.39,0.78,0.12
0.32,1.06,4.69,0.61,11.32,42.17,0.79,2.37,21.65,332.59,0.86,0.5
0.51,0.9,2.76,0.55,44.67,30.85,2.82,1.0,40.24,363.29,0.86,0.0
0.74,0.97,2.45,0.42,2.29,48.93,2.56,1.47,1.91,272.01,0.82,0.58
0.22,1.0,7.34,0.43,99.08,32.0,0.23,0.15,10.88,556.88,0.8,0.0
0.5,1.01,2.69,0.49,40.78,3.66,0.01,2.77,32.79,245.88,0.88,0.53
0.46,1.06,4.48,0.49,54.52,19.99,2.6,3.39,23.03,751.94,0.93,0.12
0.48,1.09,6.78,0.54,64.39,24.37,1.1,3.84,7.23,597.09,0.67,0.0
0.35,0.84,3.21,0.51,39.8,3.18,2.06,0.52,2.29,277.34,0.87,0.58
0.57,1.08,7.8,0.48,15.22,40.58,2.17,1.95,29.23,1239.68,0.93,0.54
0.84,1.02,7.88,0.44,49.5,16.68,3.22,1.68,34.0,1486.85,0.93,0.63
0.79,0.89,9.0,0.53,70.42,10.25,0.61,2.15,18.89,510.57,0.92,0.27
0.28,1.09,4.57,0.61,35.95,32.49,0.3,1.37,10.07,369.26,0.55,0.0
0.6,1.06,4.54,0.53,2.41,25.0,0.12,4.59,8.62,180.72,0.88,0.56
0.6,0.89,8.91,0.54,4.52,34.28,1.21,0.78,29.11,902.9,1.0,0.47
0.16,1.01,7.6,0.54,8.87,47.99,3.37,1.59,37.19,1615.95,0.86,0.34
0.32,1.16,6.38,0.54,19.65,5.12,2.25,2.15,33.29,1399.46,0.97,0.56
0.71,0.96,9.03,0.43,13.37,8.46,2.29,3.28,2.69,1031.97,0.72,0.19
0.11,1.13,4.31,0.61,28.69,25.34,2.84,0.39,36.43,714.85,0.92,0.17
0.55,1.01,5.55,0.6,40.2,24.2,0.89,4.44,34.45,343.94,0.75,0.0
0.77,0.93,4.41,0.53,59.29,17.71,3.82,0.03,16.66,655.81,0.98,0.42
0.22,0.89,2.86,0.6,97.32,29.95,3.65,2.75,21.91,459.43,0.66,0.0
0.43,1.07,6.59,0.68,23.3,48.74,1.45,1.13,27.21,623.17,0.87,0.1
0.26,0.99,2.25,0.54,93.56,49.98,2.75,0.57,5.59,225.65,0.79,0.3
0.53,0.99,7.76,0.64,28.01,5.95,1.05,0.26,38.39,712.59,0.99,0.16
0.2,1.07,3.76,0.51,38.01,45.47,1.37,3.02,35.14,618.15,0.91,0.29
0.35,0.87,6.56,0.7,11.96,21.4,0.64,3.86,26.43,272.15,0.5,0.0
0.17,0.84,9.5,0.52,74.52,35.71,3.64,1.41,18.2,1035.18,0.81,0.19
0.27,0.9,3.18,0.49,67.41,37.37,2.63,3.23,6.23,283.98,0.91,0.41
0.88,1.04,6.56,0.63,65.69,5.49,3.73,0.52,11.71,1128.27,0.97,0.45
0.68,1.08,5.4,0.49,38.57,41.92,0.97,0.07,3.59,301.13,0.89,0.2
0.78,1.06,2.05,0.69,4.9,38.64,0.06,4.24,30.18,111.21,0.5,0.0
0.21,1.18,4.89,0.62,28.9,43.57,3.04,1.61,30.75,1245.88,0.93,0.48
0.62,0.84,6.93,0.57,26.1,18.54,3.93,2.62,11.01,764.99,0.62,0.01
0.17,0.97,4.25,0.69,81.22,42.22,2.42,2.02,18.43,613.38,0.81,0.03
0.52,1.16,3.42,0.61,75.85,37.99,3.59,2.38,34.86,771.89,0.84,0.12
0.63,1.17,6.01,0.62,55.58,3.96,0.3,3.33,36.21,397.07,0.88,0.46
0.13,0.9,9.11,0.41,48.06,12.72,0.64,0.4,15.33,372.52,1.0,0.38
0.12,0.99,3.87,0.55,52.26,32.98,2.27,2.58,24.55,501.72,0.97,0.44
0.36,1.1,8.97,0.61,2.21,31.85,1.22,1.48,7.76,992.02,0.79,0.09
0.73,0.82,6.26,0.6,19.72,14.58,0.71,4.52,28.27,379.09,0.91,0.09
0.7,0.98,4.66,0.68,32.06,1.33,2.83,4.9,42.37,708.19,0.99,0.35
0.23,1.18,4.04,0.58,6.87,15.56,0.14,3.9,25.94,343.32,1.0,0.38
0.5,0.9,2.85,0.4,10.66,3.29,1.98,0.88,3.03,159.37,0.72,0.13
0.36,0.97,8.03,0.45,68.01,43.7,1.65,2.21,17.65,675.98,0.88,0.18
0.33,1.2,5.46,0.53,15.55,26.98,1.97,4.58,15.7,641.73,0.72,0.11
0.87,1.13,5.54,0.67,4.51,31.86,0.34,2.12,24.05,342.69,0.8,0.0
0.55,1.1,7.44,0.7,17.59,1.1,2.13,4.05,41.05,1534.79,0.98,0.38
0.67,1.13,5.39,0.5,76.23,8.32,3.79,4.01,9.19,977.68,0.97,0.28
0.81,1.17,2.09,0.62,10.36,13.85,0.34,2.11,39.65,179.98,0.93,0.39
0.43,1.05,7.05,0.49,61.32,35.07,3.69,1.33,43.22,1438.02,0.91,0.47
0.42,1.1,3.49,0.44,42.99,3.2,0.61,1.78,33.27,269.72,0.88,0.63
0.23,1.03,5.81,0.57,34.56,24.44,0.8,1.78,23.21,303.07,0.54,0.3
0.47,1.11,6.29,0.66,25.42,17.25,0.48,1.29,31.25,590.76,0.76,0.0
0.69,1.15,6.94,0.6,97.25,28.11,3.64,4.89,1.92,1210.66,0.84,0.53
0.5,0.88,9.85,0.41,6.21,32.52,2.87,3.85,21.65,970.68,0.85,0.12
0.24,1.0,9.68,0.52,61.7,4.62,0.7,4.32,10.81,586.95,0.88,0.53
0.37,0.94,9.33,0.53,98.21,48.54,1.56,1.19,3.85,745.18,0.75,0.47
0.77,1.12,9.58,0.54,17.2,27.57,0.45,1.79,17.71,794.69,0.55,0.14
0.56,0.96,2.17,0.55,74.62,49.86,3.39,3.4,30.84,368.43,0.73,0.0
0.26,1.19,2.1,0.41,42.4,13.27,1.43,1.61,15.15,244.24,0.88,0.39
0.12,1.03,6.98,0.65,75.75,1.13,0.46,3.65,24.24,480.09,0.9,0.53
0.74,0.99,9.34,0.61,72.77,5.87,1.33,3.24,9.0,764.76,0.91,0.55
0.83,1.07,6.14,0.54,10.5,4.01,2.14,3.27,35.59,1029.59,0.96,0.3
0.43,0.87,6.5,0.58,75.26,43.69,3.83,2.61,27.52,806.16,0.8,0.03
0.23,0.98,6.89,0.66,83.29,2.07,0.07,2.86,23.07,387.21,1.0,0.46
0.89,0.85,7.59,0.65,39.22,28.2,1.17,3.17,23.21,606.65,0.9,0.1
0.23,1.0,2.61,0.63,5.8,8.77,1.44,4.94,18.03,261.41,0.6,0.0
0.4,1.16,9.28,0.66,18.42,16.21,2.81,1.13,26.7,1566.45,0.93,0.57
0.22,0.82,9.59,0.65,99.4,21.44,1.52,4.63,34.86,772.91,0.97,0.29
0.25,0.91,6.57,0.58,80.51,29.64,0.79,3.69,2.14,254.24,0.78,0.42
0.17,1.16,6.42,0.45,29.63,35.79,0.58,4.55,20.45,517.58,0.89,0.11
0.42,0.94,4.88,0.51,56.22,47.64,1.44,0.96,35.7,418.66,0.88,0.03
0.55,0.86,9.88,0.44,83.5,13.09,2.87,1.38,43.31,1083.2,0.97,0.59
0.33,0.95,5.85,0.48,55.6,20.96,3.65,3.69,9.89,761.83,0.92,0.37
0.57,0.85,2.57,0.44,15.17,48.51,1.04,3.72,34.24,251.95,0.87,0.13
0.82,0.82,9.86,0.49,51.14,35.61,0.64,3.19,29.55,479.84,0.88,0.53
0.18,1.08,8.84,0.49,61.68,18.95,2.88,1.73,1.44,1181.3,0.84,0.67
0.74,0.85,4.56,0.65,81.42,31.68,0.81,2.86,13.93,199.64,0.82,0.0
0.64,1.18,8.75,0.64,13.08,5.7,2.54,3.3,2.51,1280.77,0.67,0.02
0.5,1.06,7.55,0.49,24.21,6.35,2.23,1.78,22.5,1122.57,0.8,0.0
0.15,1.09,2.65,0.47,32.12,29.97,3.33,5.0,15.58,465.7,0.84,0.15
0.88,1.1,2.53,0.53,74.99,1.64,3.03,4.17,9.65,420.94,0.96,0.29
0.28,0.86,9.73,0.6,62.61,37.68,0.16,4.6,3.51,328.42,1.0,0.59
0.29,0.91,2.04,0.56,53.01,29.61,3.87,4.38,21.07,319.02,0.97,0.29
0.19,0.9,9.12,0.69,45.69,7.95,1.88,0.27,17.69,732.39,0.97,0.35
0.29,0.86,3.08,0.52,93.19,23.29,2.99,3.33,21.68,359.12,0.97,0.34
0.19,1.04,3.06,0.65,14.27,6.83,1.58,0.99,25.12,268.62,0.97,0.15
0.48,1.12,7.97,0.58,69.11,31.7,0.71,4.65,28.7,613.36,0.86,0.33
0.78,1.02,6.08,0.64,87.64,3.47,1.51,2.96,41.83,933.64,0.44,0.0
0.65,1.1,9.29,0.61,48.87,34.1,1.59,0.92,29.68,1008.48,0.59,0.0
0.19,1.11,4.23,0.62,7.21,46.1,3.8,2.23,24.26,848.18,0.8,0.09
0.67,1.04,5.13,0.53,88.12,14.53,1.3,2.07,7.26,406.94,0.64,0.0
0.24,0.82,8.46,0.49,60.75,42.85,0.68,3.62,3.59,387.48,0.87,0.46
0.22,1.06,5.27,0.44,83.91,33.67,3.89,1.34,27.86,917.43,0.91,0.57
0.8,0.87,4.23,0.56,52.92,6.16,1.64,4.25,3.9,318.13,0.94,0.51
0.5,1.19,6.63,0.54,65.29,48.1,1.44,2.45,40.46,690.93,0.93,0.0
0.14,1.03,8.8,0.66,23.58,6.93,3.93,3.09,36.47,1805.37,0.95,0.27
0.56,1.1,9.82,0.69,75.7,19.87,2.48,0.65,1.32,1316.58,0.71,0.19
0.21,0.84,7.19,0.56,64.21,35.38,0.22,4.46,34.81,346.47,0.88,0.22
0.9,1.09,8.02,0.69,34.14,49.43,0.49,2.9,27.28,658.23,0.77,0.0
0.89,0.89,4.7,0.45,7.6,37.02,0.99,0.14,29.54,265.41,0.6,0.0
0.78,0.85,6.12,0.43,5.48,16.36,3.05,0.76,15.55,651.4,0.99,0.4
0.71,1.08,8.08,0.62,5.95,5.91,2.58,1.33,21.65,1172.06,0.83,0.22
0.58,0.84,2.48,0.6,61.97,2.55,3.15,1.09,1.91,263.56,0.83,0.44
0.48,1.05,9.22,0.58,42.91,31.53,1.93,0.63,17.83,981.66,0.94,0.29
0.18,1.11,6.4,0.57,87.55,48.58,3.19,1.78,16.86,1313.2,0.9,0.39
0.62,0.97,8.66,0.55,21.05,44.76,3.54,3.67,18.65,1468.87,0.69,0.01
0.59,0.95,2.78,0.65,36.2,10.25,0.95,0.35,42.92,202.54,0.93,0.33
0.18,0.86,5.07,0.46,19.88,6.97,3.83,1.98,13.85,591.29,0.92,0.52
0.61,1.01,4.61,0.44,70.75,47.39,2.28,1.9,39.99,786.57,0.74,0.23
0.14,0.99,6.04,0.48,80.23,30.42,2.89,4.66,38.8,1019.93,0.75,0.0
0.85,1.06,7.33,0.68,66.57,45.9,3.04,3.25,32.82,1381.73,0.53,0.0
0.66,0.99,4.27,0.42,23.65,41.65,0.48,2.77,28.81,280.9,0.86,0.25
0.56,1.03,4.72,0.66,83.87,39.91,3.62,2.97,40.75,1029.2,0.86,0.09
0.32,1.14,9.94,0.67,59.12,25.95,2.51,0.02,19.73,1582.66,0.99,0.24
0.74,1.18,8.57,0.54,98.59,12.55,0.37,3.54,36.99,549.43,0.9,0.31
0.48,1.1,3.65,0.63,19.79,44.76,2.04,1.49,11.85,446.51,0.73,0.1
0.6,1.14,3.12,0.44,76.35,31.54,3.12,1.59,16.35,591.53,0.92,0.57
0.18,1.01,3.47,0.55,14.49,30.64,1.4,1.34,17.66,373.72,0.68,0.03
